BT1:1
C1:1
C14:1
C16:1
C17:1
C18:1
C19:1
C2:1
C20:1
C21:1
C4:1
C5:1
C6:1
C7:1
C8:1
D2:1
H1:1
H2:1
H3:1
J1:1
JP2:1
L1:1
R1:1
R11:1
R15:1
R16:1
R18:1
R2:1
R3:1
R5:1
TP1:1
U1:1
U2:1
U4:1
U5:1
Y2:1
